kem,cluster_size,n_clients,dim,setup_up_B,setup_down_B,setup_wall_s,round_up_B,round_down_B,round_client_mask_s,round_server_unmask_s,drop_round_up_B,drop_server_unmask_s
hqc-128,3,30,291498,6682,8931,2.045,2332052,34,0.026473,0.2457,2254319,0.2463
hqc-192,3,30,291498,13500,18022,5.7069,2332052,34,0.024869,0.2525,2254319,0.2814
hqc-256,3,30,291498,21666,28911,10.5729,2332052,34,0.02623,0.2549,2254319,0.2656
mlkem-512,3,30,291498,1568,2368,0.0175,2332052,34,0.025018,0.2588,2254319,0.2667
mlkem-768,3,30,291498,2272,3456,0.0167,2332052,34,0.026946,0.2578,2254319,0.2724
mlkem-1024,3,30,291498,3136,4704,0.0208,2332052,34,0.025021,0.241,2254319,0.2506
hqc-128,5,30,291498,11115,17862,3.4215,2332103,68,0.036945,0.2341,2254370,0.2693
hqc-192,5,30,291498,22478,36044,10.4271,2332103,68,0.038804,0.2378,2254370,0.2672
hqc-256,5,30,291498,36087,57822,19.2233,2332103,68,0.038014,0.226,2254370,0.2736
mlkem-512,5,30,291498,2336,4736,0.0204,2332103,68,0.037859,0.2219,2254370,0.2616
mlkem-768,5,30,291498,3360,6912,0.0257,2332103,68,0.03687,0.2569,2254370,0.2563
mlkem-1024,5,30,291498,4704,9408,0.0371,2332103,68,0.03767,0.2478,2254370,0.2381
