round,acc,t_round_s,n_malicious,excluded_malicious,excluded_honest,n_dirty,n_flagged,dirty_flagged,susp_mal,susp_hon,asr
0,0.1,18.651119200018,6,0,0,5,2,1,0.167,0.208,1.0
1,0.1549,18.281309700018028,6,0,0,6,1,1,0.167,0.146,0.8645555555555555
2,0.2588,18.454295999981696,6,0,0,5,5,3,0.333,0.25,0.13066666666666665
3,0.2543,18.3516440000094,6,0,0,5,7,4,0.458,0.354,0.2328888888888889
4,0.2733,18.439109700004337,6,0,0,4,1,0,0.367,0.308,0.7072222222222222
5,0.2878,18.474265199998626,6,0,0,5,4,3,0.389,0.319,0.163
6,0.3111,18.464768300007563,6,0,0,5,7,4,0.452,0.369,0.49522222222222223
7,0.3578,18.51519959999132,6,0,0,4,5,3,0.479,0.38,0.7148888888888889
8,0.38,18.459852500003763,6,0,0,5,3,2,0.481,0.366,0.7382222222222222
9,0.3576,18.414895099995192,6,0,0,6,6,4,0.5,0.388,0.8864444444444445
10,0.4266,18.669780700001866,6,0,0,4,5,3,0.515,0.394,0.8296666666666667
11,0.4248,18.58055260000401,6,0,0,5,6,4,0.542,0.406,0.8175555555555556
12,0.4236,18.605792999995174,6,0,0,5,6,3,0.538,0.423,0.9291111111111111
13,0.4508,18.54321799997706,6,0,1,5,3,1,0.524,0.414,0.9474444444444444
14,0.4644,17.911777999979677,6,0,1,5,2,0,0.489,0.405,0.9426666666666667
15,0.4679,18.03872240000055,6,0,1,5,3,1,0.469,0.403,0.9577777777777777
16,0.4575,18.061858799977927,6,0,1,5,5,4,0.49,0.406,0.9354444444444444
17,0.469,17.906528999999864,6,0,1,6,4,3,0.491,0.406,0.9436666666666667
18,0.4674,18.071257200004766,6,0,1,5,4,2,0.491,0.406,0.9343333333333333
19,0.4964,17.972729200002505,6,0,1,4,3,1,0.475,0.404,0.9437777777777778
20,0.5,17.94212510000216,6,0,1,6,3,3,0.476,0.399,0.9675555555555555
21,0.4773,18.048252300010063,6,0,1,5,5,3,0.477,0.405,0.9417777777777778
22,0.5106,17.939961299998686,6,0,1,5,0,0,0.457,0.389,0.9542222222222222
23,0.515,18.056418699998176,6,0,1,4,3,1,0.444,0.388,0.9697777777777777
24,0.5268,18.074926200002665,6,0,1,6,2,1,0.433,0.382,0.9561111111111111
25,0.5332,18.055917399993632,6,0,1,5,0,0,0.417,0.369,0.9638888888888889
26,0.5285,17.96790280001005,6,0,1,5,3,2,0.414,0.368,0.9513333333333334
27,0.5324,17.96970320001128,6,0,1,5,3,2,0.411,0.366,0.9618888888888889
28,0.545,18.18842400002177,6,0,1,5,3,3,0.414,0.363,0.9441111111111111
29,0.5285,17.97557810001308,6,0,1,6,3,2,0.411,0.362,0.9531111111111111
