dataset,attack,agg,f,c,acc_mean,acc_std,n,asr_mean,asr_std
cifar10,backdoor,krum,0.1,3,0.5247,0.0059,3,0.602,0.4701
cifar10,backdoor,krum,0.2,3,0.523,0.006,3,0.9393,0.0146
cifar10,backdoor,krum,0.3,3,0.5172,0.0126,3,0.9648,0.0143
cifar10,backdoor,mean,0.1,3,0.5508,0.0017,3,0.8714,0.0149
cifar10,backdoor,mean,0.2,3,0.5457,0.0026,3,0.9506,0.0112
cifar10,backdoor,mean,0.3,3,0.5434,0.0038,3,0.9637,0.0084
cifar10,backdoor,median,0.1,3,0.5383,0.0066,3,0.2898,0.1032
cifar10,backdoor,median,0.2,3,0.5337,0.008,3,0.9412,0.0147
cifar10,backdoor,median,0.3,3,0.532,0.0094,3,0.9605,0.0079
cifar10,backdoor,reputation,0.1,3,0.5305,0.0136,2,0.6874,0.219
cifar10,backdoor,reputation,0.2,3,0.5251,0.0135,3,0.9455,0.0081
cifar10,backdoor,reputation,0.3,3,0.5277,0.0136,3,0.9588,0.0098
cifar10,backdoor,trimmed,0.1,3,0.5426,0.0039,3,0.7467,0.0438
cifar10,backdoor,trimmed,0.2,3,0.5374,0.0058,3,0.9441,0.0145
cifar10,backdoor,trimmed,0.3,3,0.5355,0.0075,3,0.961,0.0089
cifar10,labelflip,krum,0.1,3,0.5045,,1,,
cifar10,labelflip,krum,0.2,3,0.5037,,1,,
cifar10,labelflip,krum,0.3,3,0.4365,,1,,
cifar10,labelflip,mean,0.1,3,0.5387,,1,,
cifar10,labelflip,mean,0.2,3,0.5191,,1,,
cifar10,labelflip,mean,0.3,3,0.4735,,1,,
cifar10,labelflip,median,0.1,3,0.5202,,1,,
cifar10,labelflip,median,0.2,3,0.512,,1,,
cifar10,labelflip,median,0.3,3,0.4478,,1,,
cifar10,labelflip,reputation,0.2,3,0.5104,,1,,
cifar10,labelflip,reputation,0.3,3,0.4701,,1,,
cifar10,labelflip,trimmed,0.1,3,0.5271,,1,,
cifar10,labelflip,trimmed,0.2,3,0.5107,,1,,
cifar10,labelflip,trimmed,0.3,3,0.4727,,1,,
cifar10,none,mean,0.0,3,0.55,0.001,2,,
cifar10,signflip,krum,0.1,3,0.5357,0.0101,3,,
cifar10,signflip,krum,0.2,3,0.3981,0.027,3,,
cifar10,signflip,krum,0.3,3,0.2029,0.1233,3,,
cifar10,signflip,mean,0.1,3,0.2144,0.1021,3,,
cifar10,signflip,mean,0.2,3,0.1,0.0,3,,
cifar10,signflip,mean,0.3,3,0.1,0.0,3,,
cifar10,signflip,median,0.05,1,0.4953,0.0214,3,,
cifar10,signflip,median,0.05,3,0.5225,0.0078,3,,
cifar10,signflip,median,0.05,5,0.5141,0.0124,3,,
cifar10,signflip,median,0.1,1,0.4843,0.0086,3,,
cifar10,signflip,median,0.1,3,0.4785,0.0395,3,,
cifar10,signflip,median,0.1,5,0.403,0.0837,3,,
cifar10,signflip,median,0.2,1,0.4417,0.0403,3,,
cifar10,signflip,median,0.2,3,0.1,0.0,3,,
cifar10,signflip,median,0.2,5,0.1,0.0,3,,
cifar10,signflip,median,0.3,1,0.3903,0.0087,3,,
cifar10,signflip,median,0.3,3,0.1,0.0,3,,
cifar10,signflip,median,0.3,5,0.1,0.0,3,,
cifar10,signflip,reputation,0.1,3,0.5263,0.0102,3,,
cifar10,signflip,reputation,0.2,3,0.4564,0.0708,3,,
cifar10,signflip,reputation,0.3,3,0.4635,0.048,3,,
cifar10,signflip,trimmed,0.1,3,0.4535,0.0288,3,,
cifar10,signflip,trimmed,0.2,3,0.1,0.0,3,,
cifar10,signflip,trimmed,0.3,3,0.1,0.0,3,,
edgeiiot,labelflip,krum,0.1,3,0.624,,1,,
edgeiiot,labelflip,krum,0.2,3,0.6222,,1,,
edgeiiot,labelflip,krum,0.3,3,0.608,,1,,
edgeiiot,labelflip,mean,0.1,3,0.6274,,1,,
edgeiiot,labelflip,mean,0.2,3,0.6346,,1,,
edgeiiot,labelflip,mean,0.3,3,0.6079,,1,,
edgeiiot,labelflip,median,0.1,3,0.6154,,1,,
edgeiiot,labelflip,median,0.2,3,0.6265,,1,,
edgeiiot,labelflip,median,0.3,3,0.5971,,1,,
edgeiiot,labelflip,reputation,0.1,3,0.6186,,1,,
edgeiiot,labelflip,reputation,0.2,3,0.6147,,1,,
edgeiiot,labelflip,reputation,0.3,3,0.6235,,1,,
edgeiiot,labelflip,trimmed,0.1,3,0.625,,1,,
edgeiiot,labelflip,trimmed,0.2,3,0.6271,,1,,
edgeiiot,labelflip,trimmed,0.3,3,0.6051,,1,,
edgeiiot,none,mean,0.0,3,0.637,,1,,
edgeiiot,signflip,krum,0.1,3,0.633,,1,,
edgeiiot,signflip,krum,0.2,3,0.5939,,1,,
edgeiiot,signflip,krum,0.3,3,0.385,,1,,
edgeiiot,signflip,mean,0.1,3,0.2698,,1,,
edgeiiot,signflip,mean,0.2,3,0.0731,,1,,
edgeiiot,signflip,mean,0.3,3,0.0731,,1,,
edgeiiot,signflip,median,0.1,3,0.596,,1,,
edgeiiot,signflip,median,0.2,3,0.1364,,1,,
edgeiiot,signflip,median,0.3,3,0.0731,,1,,
edgeiiot,signflip,reputation,0.1,3,0.6195,,1,,
edgeiiot,signflip,reputation,0.2,3,0.6232,,1,,
edgeiiot,signflip,reputation,0.3,3,0.6147,,1,,
edgeiiot,signflip,trimmed,0.1,3,0.5804,,1,,
edgeiiot,signflip,trimmed,0.2,3,0.1167,,1,,
edgeiiot,signflip,trimmed,0.3,3,0.0731,,1,,
fmnist,none,mean,0.0,3,0.8598,0.0042,3,,
fmnist,signflip,krum,0.1,3,0.8588,0.0095,3,,
fmnist,signflip,krum,0.2,3,0.8305,0.0202,3,,
fmnist,signflip,krum,0.3,3,0.4309,0.293,3,,
fmnist,signflip,mean,0.1,3,0.4886,0.3491,3,,
fmnist,signflip,mean,0.2,3,0.1,0.0,3,,
fmnist,signflip,mean,0.3,3,0.1,0.0,3,,
fmnist,signflip,median,0.1,3,0.8361,0.014,3,,
fmnist,signflip,median,0.2,3,0.1,0.0,3,,
fmnist,signflip,median,0.3,3,0.1,0.0,3,,
fmnist,signflip,reputation,0.1,3,0.8575,0.0045,3,,
fmnist,signflip,reputation,0.2,3,0.8613,0.005,3,,
fmnist,signflip,reputation,0.3,3,0.8408,0.017,3,,
