attack,aggregator,f,cluster_size,seed,final_acc,final_acc_std,rounds,final_asr,k_clusters,dirty_clusters,clean_frac_observed,clean_frac_theory
backdoor,krum,0.1,3,0,0.5191,0.0083,30,0.8636,10,3,0.7,0.729
backdoor,mean,0.1,3,0,0.5489,0.0068,30,0.873,10,3,0.7,0.729
backdoor,median,0.1,3,0,0.5306,0.0054,30,0.4041,10,3,0.7,0.729
backdoor,trimmed,0.1,3,0,0.5381,0.0061,30,0.7972,10,3,0.7,0.729
backdoor,krum,0.2,3,0,0.516,0.0075,30,0.9244,10,5,0.5,0.512
backdoor,mean,0.2,3,0,0.5433,0.0063,30,0.9435,10,5,0.5,0.512
backdoor,median,0.2,3,0,0.5257,0.0062,30,0.933,10,5,0.5,0.512
backdoor,reputation,0.2,3,0,0.5095,0.0268,30,0.9418,10,5,0.5,0.512
backdoor,trimmed,0.2,3,0,0.531,0.0068,30,0.9347,10,5,0.5,0.512
backdoor,krum,0.3,3,0,0.5034,0.0071,30,0.9717,10,6,0.4,0.343
backdoor,mean,0.3,3,0,0.5411,0.007,30,0.9665,10,6,0.4,0.343
backdoor,median,0.3,3,0,0.5217,0.0068,30,0.9632,10,6,0.4,0.343
backdoor,trimmed,0.3,3,0,0.5277,0.0079,30,0.9633,10,6,0.4,0.343
labelflip,mean,0.2,3,0,0.5191,0.0067,30,,10,5,0.5,0.512
labelflip,median,0.2,3,0,0.512,0.0084,30,,10,5,0.5,0.512
labelflip,reputation,0.2,3,0,0.5104,0.0106,30,,10,5,0.5,0.512
labelflip,trimmed,0.2,3,0,0.5107,0.0076,30,,10,5,0.5,0.512
labelflip,krum,0.3,3,0,0.4365,0.0166,30,,10,6,0.4,0.343
labelflip,mean,0.3,3,0,0.4735,0.0073,30,,10,6,0.4,0.343
labelflip,median,0.3,3,0,0.4478,0.0073,30,,10,6,0.4,0.343
labelflip,reputation,0.3,3,0,0.4701,0.0114,30,,10,6,0.4,0.343
labelflip,trimmed,0.3,3,0,0.4727,0.0084,30,,10,6,0.4,0.343
signflip,krum,0.1,3,0,0.5293,0.0069,30,,10,3,0.7,0.729
signflip,mean,0.1,3,0,0.2963,0.0095,30,,10,3,0.7,0.729
signflip,median,0.1,3,0,0.4335,0.0116,30,,10,3,0.7,0.729
signflip,trimmed,0.1,3,0,0.4202,0.008,30,,10,3,0.7,0.729
signflip,krum,0.2,3,0,0.4272,0.017,30,,10,5,0.5,0.512
signflip,mean,0.2,3,0,0.1,0.0,30,,10,5,0.5,0.512
signflip,median,0.2,3,0,0.1,0.0,30,,10,5,0.5,0.512
signflip,trimmed,0.2,3,0,0.1,0.0,30,,10,5,0.5,0.512
signflip,krum,0.3,3,0,0.1692,0.0346,30,,10,6,0.4,0.343
signflip,mean,0.3,3,0,0.1,0.0,30,,10,6,0.4,0.343
signflip,median,0.3,3,0,0.1,0.0,30,,10,6,0.4,0.343
signflip,trimmed,0.3,3,0,0.1,0.0,30,,10,6,0.4,0.343
